DATA_HORA,ATIVO_ID,TEMPERATURA,UMIDADE,VIBRACAO,TEMPERATURA_MM5,VIBRACAO_MM5,UMIDADE_MM5,VIBRACAO_MM5_FUTURO
2025-07-02T00:00:00,1,63.086,55.078,5.812,63.086,5.812,55.078,4.8554
2025-07-02T00:02:00,1,62.252,51.499,4.524,62.669,5.168,53.2885,5.0388
2025-07-02T00:04:00,1,63.132,56.361,5.104,62.82333333333333,5.146666666666667,54.312666666666665,4.9808
2025-07-02T00:06:00,1,62.54,55.219,4.275,62.7525,4.92875,54.53925,4.957800000000001
2025-07-02T00:08:00,1,62.096,59.606,5.037,62.6212,4.9504,55.552600000000005,5.0148
2025-07-02T00:10:00,1,61.77,55.884,5.337,62.35799999999999,4.8554,55.713800000000006,4.9886
2025-07-02T00:12:00,1,66.094,53.645,5.441,63.126400000000004,5.0388,56.14300000000001,4.805400000000001
2025-07-02T00:14:00,1,62.132,56.166,4.814,62.9264,4.9808,56.104000000000006,4.677
2025-07-02T00:16:00,1,63.722,52.723,4.16,63.162800000000004,4.957800000000001,55.6048,4.8052
2025-07-02T00:18:00,1,62.857,56.392,5.322,63.315,5.0148,54.962,4.8466000000000005
2025-07-02T00:20:00,1,63.67,58.594,5.206,63.69500000000001,4.9886,55.504,4.8012
2025-07-02T00:22:00,1,63.724,53.919,4.525,63.221000000000004,4.805400000000001,55.5588,4.8128
2025-07-02T00:24:00,1,64.337,57.6,4.172,63.662,4.677,55.845600000000005,4.861800000000001
2025-07-02T00:26:00,1,65.77,53.054,4.801,64.0716,4.8052,55.91179999999999,4.9132
2025-07-02T00:28:00,1,61.46,57.352,5.529,63.7922,4.8466000000000005,56.1038,4.7378
2025-07-02T00:30:00,1,64.978,49.563,4.979,64.0538,4.8012,54.2976,4.813000000000001
2025-07-02T00:32:00,1,66.556,53.793,4.583,64.6202,4.8128,54.27239999999999,4.889799999999999
2025-07-02T00:34:00,1,62.389,58.633,4.417,64.23060000000001,4.861800000000001,54.479,5.0254
2025-07-02T00:36:00,1,64.433,59.855,5.058,63.96320000000001,4.9132,55.839200000000005,4.925400000000001
2025-07-02T00:38:00,1,63.431,57.369,4.652,64.35740000000001,4.7378,55.84259999999999,5.0476
2025-07-02T00:40:00,1,64.245,59.625,5.355,64.2108,4.813000000000001,57.855,4.7528
2025-07-02T00:42:00,1,61.7,48.605,4.967,63.23960000000001,4.889799999999999,56.8174,4.7874
2025-07-02T00:44:00,1,64.417,59.103,5.095,63.6452,5.0254,56.9114,4.892
2025-07-02T00:46:00,1,61.564,54.742,4.558,63.071400000000004,4.925400000000001,55.8888,5.0444
2025-07-02T00:48:00,1,67.72,53.528,5.263,63.9292,5.0476,55.1206,5.2478
2025-07-02T00:50:00,1,63.232,55.209,3.881,63.726600000000005,4.7528,54.2374,5.4518
2025-07-02T00:52:00,1,66.103,55.908,5.14,64.60719999999999,4.7874,55.698,5.483
2025-07-02T00:54:00,1,64.35,53.661,5.618,64.5938,4.892,54.6096,5.5968
2025-07-02T00:56:00,1,64.634,51.766,5.32,65.20779999999999,5.0444,54.0144,5.5674
2025-07-02T00:58:00,1,65.517,56.765,6.28,64.7672,5.2478,54.66179999999999,5.3274
