PLANTA_ID,ATIVO_ID,SENSOR_ID,TIPO_SENSOR,UNIDADE,DATA_HORA,VALOR
1,1,1,TEMPERATURA,C,2025-07-02T00:00:00,63.086
1,1,1,TEMPERATURA,C,2025-07-02T00:02:00,62.252
1,1,1,TEMPERATURA,C,2025-07-02T00:04:00,63.132
1,1,1,TEMPERATURA,C,2025-07-02T00:06:00,62.54
1,1,1,TEMPERATURA,C,2025-07-02T00:08:00,62.096
1,1,1,TEMPERATURA,C,2025-07-02T00:10:00,61.77
1,1,1,TEMPERATURA,C,2025-07-02T00:12:00,66.094
1,1,1,TEMPERATURA,C,2025-07-02T00:14:00,62.132
1,1,1,TEMPERATURA,C,2025-07-02T00:16:00,63.722
1,1,1,TEMPERATURA,C,2025-07-02T00:18:00,62.857
1,1,1,TEMPERATURA,C,2025-07-02T00:20:00,63.67
1,1,1,TEMPERATURA,C,2025-07-02T00:22:00,63.724
1,1,1,TEMPERATURA,C,2025-07-02T00:24:00,64.337
1,1,1,TEMPERATURA,C,2025-07-02T00:26:00,65.77
1,1,1,TEMPERATURA,C,2025-07-02T00:28:00,61.46
1,1,1,TEMPERATURA,C,2025-07-02T00:30:00,64.978
1,1,1,TEMPERATURA,C,2025-07-02T00:32:00,66.556
1,1,1,TEMPERATURA,C,2025-07-02T00:34:00,62.389
1,1,1,TEMPERATURA,C,2025-07-02T00:36:00,64.433
1,1,1,TEMPERATURA,C,2025-07-02T00:38:00,63.431
1,1,1,TEMPERATURA,C,2025-07-02T00:40:00,64.245
1,1,1,TEMPERATURA,C,2025-07-02T00:42:00,61.7
1,1,1,TEMPERATURA,C,2025-07-02T00:44:00,64.417
1,1,1,TEMPERATURA,C,2025-07-02T00:46:00,61.564
1,1,1,TEMPERATURA,C,2025-07-02T00:48:00,67.72
1,1,1,TEMPERATURA,C,2025-07-02T00:50:00,63.232
1,1,1,TEMPERATURA,C,2025-07-02T00:52:00,66.103
1,1,1,TEMPERATURA,C,2025-07-02T00:54:00,64.35
1,1,1,TEMPERATURA,C,2025-07-02T00:56:00,64.634
1,1,1,TEMPERATURA,C,2025-07-02T00:58:00,65.517
1,1,1,TEMPERATURA,C,2025-07-02T01:00:00,65.728
1,1,1,TEMPERATURA,C,2025-07-02T01:02:00,63.841
1,1,1,TEMPERATURA,C,2025-07-02T01:04:00,64.316
1,1,1,TEMPERATURA,C,2025-07-02T01:06:00,63.096
1,1,1,TEMPERATURA,C,2025-07-02T01:08:00,64.01
1,1,1,TEMPERATURA,C,2025-07-02T01:10:00,66.334
1,1,1,TEMPERATURA,C,2025-07-02T01:12:00,65.196
1,1,1,TEMPERATURA,C,2025-07-02T01:14:00,63.679
1,1,1,TEMPERATURA,C,2025-07-02T01:16:00,65.593
1,1,1,TEMPERATURA,C,2025-07-02T01:18:00,64.999
1,1,1,TEMPERATURA,C,2025-07-02T01:20:00,64.905
1,1,1,TEMPERATURA,C,2025-07-02T01:22:00,64.341
1,1,1,TEMPERATURA,C,2025-07-02T01:24:00,63.804
1,1,1,TEMPERATURA,C,2025-07-02T01:26:00,65.241
1,1,1,TEMPERATURA,C,2025-07-02T01:28:00,65.092
1,1,1,TEMPERATURA,C,2025-07-02T01:30:00,67.785
1,1,1,TEMPERATURA,C,2025-07-02T01:32:00,65.756
1,1,1,TEMPERATURA,C,2025-07-02T01:34:00,63.962
1,1,1,TEMPERATURA,C,2025-07-02T01:36:00,65.686
1,1,1,TEMPERATURA,C,2025-07-02T01:38:00,65.813
1,1,1,TEMPERATURA,C,2025-07-02T01:40:00,66.637
1,1,1,TEMPERATURA,C,2025-07-02T01:42:00,63.725
1,1,1,TEMPERATURA,C,2025-07-02T01:44:00,66.547
1,1,1,TEMPERATURA,C,2025-07-02T01:46:00,63.872
1,1,1,TEMPERATURA,C,2025-07-02T01:48:00,64.128
1,1,1,TEMPERATURA,C,2025-07-02T01:50:00,66.868
1,1,1,TEMPERATURA,C,2025-07-02T01:52:00,66.384
1,1,1,TEMPERATURA,C,2025-07-02T01:54:00,62.6
1,1,1,TEMPERATURA,C,2025-07-02T01:56:00,66.399
1,1,1,TEMPERATURA,C,2025-07-02T01:58:00,65.39
1,1,1,TEMPERATURA,C,2025-07-02T02:00:00,68.293
1,1,1,TEMPERATURA,C,2025-07-02T02:02:00,67.425
1,1,1,TEMPERATURA,C,2025-07-02T02:04:00,64.445
1,1,1,TEMPERATURA,C,2025-07-02T02:06:00,66.146
1,1,1,TEMPERATURA,C,2025-07-02T02:08:00,66.094
1,1,1,TEMPERATURA,C,2025-07-02T02:10:00,68.213
1,1,1,TEMPERATURA,C,2025-07-02T02:12:00,68.533
1,1,1,TEMPERATURA,C,2025-07-02T02:14:00,68.952
1,1,1,TEMPERATURA,C,2025-07-02T02:16:00,66.545
1,1,1,TEMPERATURA,C,2025-07-02T02:18:00,65.745
1,1,1,TEMPERATURA,C,2025-07-02T02:20:00,62.941
1,1,1,TEMPERATURA,C,2025-07-02T02:22:00,69.419
1,1,1,TEMPERATURA,C,2025-07-02T02:24:00,67.107
1,1,1,TEMPERATURA,C,2025-07-02T02:26:00,66.143
1,1,1,TEMPERATURA,C,2025-07-02T02:28:00,66.634
1,1,1,TEMPERATURA,C,2025-07-02T02:30:00,67.765
1,1,1,TEMPERATURA,C,2025-07-02T02:32:00,67.893
1,1,1,TEMPERATURA,C,2025-07-02T02:34:00,67.392
1,1,1,TEMPERATURA,C,2025-07-02T02:36:00,66.696
1,1,1,TEMPERATURA,C,2025-07-02T02:38:00,69.035
1,1,1,TEMPERATURA,C,2025-07-02T02:40:00,66.777
1,1,1,TEMPERATURA,C,2025-07-02T02:42:00,63.079
1,1,1,TEMPERATURA,C,2025-07-02T02:44:00,68.359
1,1,1,TEMPERATURA,C,2025-07-02T02:46:00,71.727
1,1,1,TEMPERATURA,C,2025-07-02T02:48:00,68.738
1,1,1,TEMPERATURA,C,2025-07-02T02:50:00,66.196
1,1,1,TEMPERATURA,C,2025-07-02T02:52:00,68.467
1,1,1,TEMPERATURA,C,2025-07-02T02:54:00,67.631
1,1,1,TEMPERATURA,C,2025-07-02T02:56:00,67.153
1,1,1,TEMPERATURA,C,2025-07-02T02:58:00,66.311
1,1,1,TEMPERATURA,C,2025-07-02T03:00:00,66.242
1,1,1,TEMPERATURA,C,2025-07-02T03:02:00,71.177
1,1,1,TEMPERATURA,C,2025-07-02T03:04:00,69.211
1,1,1,TEMPERATURA,C,2025-07-02T03:06:00,65.36
1,1,1,TEMPERATURA,C,2025-07-02T03:08:00,68.565
1,1,1,TEMPERATURA,C,2025-07-02T03:10:00,69.705
1,1,1,TEMPERATURA,C,2025-07-02T03:12:00,61.359
1,1,1,TEMPERATURA,C,2025-07-02T03:14:00,69.258
1,1,1,TEMPERATURA,C,2025-07-02T03:16:00,67.104
1,1,1,TEMPERATURA,C,2025-07-02T03:18:00,67.488
1,1,1,TEMPERATURA,C,2025-07-02T03:20:00,66.669
1,1,1,TEMPERATURA,C,2025-07-02T03:22:00,66.497
1,1,1,TEMPERATURA,C,2025-07-02T03:24:00,68.156
1,1,1,TEMPERATURA,C,2025-07-02T03:26:00,70.286
1,1,1,TEMPERATURA,C,2025-07-02T03:28:00,78.182
1,1,1,TEMPERATURA,C,2025-07-02T03:30:00,71.109
1,1,1,TEMPERATURA,C,2025-07-02T03:32:00,70.595
1,1,1,TEMPERATURA,C,2025-07-02T03:34:00,66.838
1,1,1,TEMPERATURA,C,2025-07-02T03:36:00,71.442
1,1,1,TEMPERATURA,C,2025-07-02T03:38:00,67.986
1,1,1,TEMPERATURA,C,2025-07-02T03:40:00,67.631
1,1,1,TEMPERATURA,C,2025-07-02T03:42:00,70.026
1,1,1,TEMPERATURA,C,2025-07-02T03:44:00,63.558
1,1,1,TEMPERATURA,C,2025-07-02T03:46:00,67.289
1,1,1,TEMPERATURA,C,2025-07-02T03:48:00,67.249
